,날짜,전북
0,2021-05-01,16
1,2021-05-02,11
2,2021-05-03,12
3,2021-05-04,12
4,2021-05-05,11
5,2021-05-06,15
6,2021-05-07,69
7,2021-05-08,91
8,2021-05-09,25
9,2021-05-10,10
10,2021-05-11,12
11,2021-05-12,12
12,2021-05-13,25
13,2021-05-14,29
14,2021-05-15,17
15,2021-05-16,6
16,2021-05-17,7
17,2021-05-18,16
18,2021-05-19,21
19,2021-05-20,18
20,2021-05-21,11
21,2021-05-22,13
22,2021-05-23,21
23,2021-05-24,31
24,2021-05-25,32
25,2021-05-26,13
26,2021-05-27,17
27,2021-05-28,23
28,2021-05-29,15
29,2021-05-30,16
30,2021-05-31,14
