,날짜,경남
0,2021-05-01,11
1,2021-05-02,10
2,2021-05-03,10
3,2021-05-04,11
4,2021-05-05,10
5,2021-05-06,14
6,2021-05-07,24
7,2021-05-08,54
8,2021-05-09,21
9,2021-05-10,9
10,2021-05-11,14
11,2021-05-12,12
12,2021-05-13,13
13,2021-05-14,13
14,2021-05-15,12
15,2021-05-16,5
16,2021-05-17,9
17,2021-05-18,9
18,2021-05-19,21
19,2021-05-20,15
20,2021-05-21,8
21,2021-05-22,13
22,2021-05-23,23
23,2021-05-24,21
24,2021-05-25,22
25,2021-05-26,12
26,2021-05-27,11
27,2021-05-28,17
28,2021-05-29,14
29,2021-05-30,17
30,2021-05-31,17
