,날짜,제주
0,2021-05-01,11
1,2021-05-02,14
2,2021-05-03,11
3,2021-05-04,9
4,2021-05-05,14
5,2021-05-06,16
6,2021-05-07,30
7,2021-05-08,66
8,2021-05-09,27
9,2021-05-10,13
10,2021-05-11,11
11,2021-05-12,14
12,2021-05-13,9
13,2021-05-14,11
14,2021-05-15,7
15,2021-05-16,7
16,2021-05-17,13
17,2021-05-18,13
18,2021-05-19,17
19,2021-05-20,8
20,2021-05-21,12
21,2021-05-22,11
22,2021-05-23,11
23,2021-05-24,15
24,2021-05-25,29
25,2021-05-26,13
26,2021-05-27,16
27,2021-05-28,21
28,2021-05-29,15
29,2021-05-30,12
30,2021-05-31,14
