,날짜,부산
0,2021-01-01,14
1,2021-01-02,19
2,2021-01-03,13
3,2021-01-04,25
4,2021-01-05,28
5,2021-01-06,11
6,2021-01-07,12
7,2021-01-08,11
8,2021-01-09,11
9,2021-01-10,13
10,2021-01-11,22
11,2021-01-12,23
12,2021-01-13,33
13,2021-01-14,29
14,2021-01-15,21
15,2021-01-16,33
16,2021-01-17,10
17,2021-01-18,25
18,2021-01-19,15
19,2021-01-20,18
20,2021-01-21,22
21,2021-01-22,27
22,2021-01-23,13
23,2021-01-24,11
24,2021-01-25,8
25,2021-01-26,10
26,2021-01-27,17
27,2021-01-28,18
28,2021-01-29,11
29,2021-01-30,24
30,2021-01-31,28
31,2021-02-01,27
32,2021-02-02,27
33,2021-02-03,15
34,2021-02-04,19
35,2021-02-05,13
36,2021-02-06,25
37,2021-02-07,45
38,2021-02-08,14
39,2021-02-09,12
40,2021-02-10,27
41,2021-02-11,35
42,2021-02-12,32
43,2021-02-13,32
44,2021-02-14,31
45,2021-02-15,18
46,2021-02-16,12
47,2021-02-17,12
48,2021-02-18,15
49,2021-02-19,18
50,2021-02-20,29
51,2021-02-21,30
52,2021-02-22,20
53,2021-02-23,12
54,2021-02-24,16
55,2021-02-25,17
56,2021-02-26,11
57,2021-02-27,11
58,2021-02-28,10
59,2021-03-01,12
60,2021-03-02,8
61,2021-03-03,12
62,2021-03-04,16
63,2021-03-05,18
64,2021-03-06,17
65,2021-03-07,10
66,2021-03-08,15
67,2021-03-09,16
68,2021-03-10,28
69,2021-03-11,15
70,2021-03-12,12
71,2021-03-13,27
72,2021-03-14,32
73,2021-03-15,37
74,2021-03-16,21
75,2021-03-17,19
76,2021-03-18,16
77,2021-03-19,12
78,2021-03-20,10
79,2021-03-21,18
80,2021-03-22,15
81,2021-03-23,24
82,2021-03-24,20
83,2021-03-25,21
84,2021-03-26,30
85,2021-03-27,18
86,2021-03-28,10
87,2021-03-29,104
88,2021-03-30,30
89,2021-03-31,18
90,2021-04-01,17
91,2021-04-02,16
92,2021-04-03,18
93,2021-04-04,8
94,2021-04-05,9
95,2021-04-06,14
96,2021-04-07,21
97,2021-04-08,20
98,2021-04-09,13
99,2021-04-10,8
100,2021-04-11,9
101,2021-04-12,12
102,2021-04-13,8
103,2021-04-14,13
104,2021-04-15,18
105,2021-04-16,18
106,2021-04-17,21
107,2021-04-18,10
108,2021-04-19,15
109,2021-04-20,26
110,2021-04-21,32
111,2021-04-22,22
112,2021-04-23,12
113,2021-04-24,12
114,2021-04-25,12
115,2021-04-26,7
116,2021-04-27,12
117,2021-04-28,15
118,2021-04-29,25
119,2021-04-30,23
120,2021-05-01,12
121,2021-05-02,11
122,2021-05-03,10
123,2021-05-04,11
124,2021-05-05,11
125,2021-05-06,14
126,2021-05-07,20
127,2021-05-08,61
128,2021-05-09,28
129,2021-05-10,11
130,2021-05-11,11
131,2021-05-12,11
132,2021-05-13,11
133,2021-05-14,13
134,2021-05-15,9
135,2021-05-16,4
136,2021-05-17,8
137,2021-05-18,9
138,2021-05-19,24
139,2021-05-20,13
140,2021-05-21,9
141,2021-05-22,12
142,2021-05-23,24
143,2021-05-24,19
144,2021-05-25,25
145,2021-05-26,13
146,2021-05-27,13
147,2021-05-28,21
148,2021-05-29,15
149,2021-05-30,17
150,2021-05-31,13
151,2021-06-01,14
152,2021-06-02,21
153,2021-06-03,17
154,2021-06-04,9
155,2021-06-05,22
156,2021-06-06,21
157,2021-06-07,17
158,2021-06-08,19
159,2021-06-09,19
160,2021-06-10,26
161,2021-06-11,13
162,2021-06-12,4
163,2021-06-13,12
164,2021-06-14,13
165,2021-06-15,7
166,2021-06-16,6
167,2021-06-17,9
168,2021-06-18,15
169,2021-06-19,23
170,2021-06-20,26
171,2021-06-21,22
172,2021-06-22,9
173,2021-06-23,9
174,2021-06-24,9
175,2021-06-25,16
176,2021-06-26,15
177,2021-06-27,17
178,2021-06-28,19
179,2021-06-29,14
180,2021-06-30,13
