,날짜,부산
0,2021-04-01,17
1,2021-04-02,16
2,2021-04-03,18
3,2021-04-04,8
4,2021-04-05,9
5,2021-04-06,14
6,2021-04-07,21
7,2021-04-08,20
8,2021-04-09,13
9,2021-04-10,8
10,2021-04-11,9
11,2021-04-12,12
12,2021-04-13,8
13,2021-04-14,13
14,2021-04-15,18
15,2021-04-16,18
16,2021-04-17,21
17,2021-04-18,10
18,2021-04-19,15
19,2021-04-20,26
20,2021-04-21,32
21,2021-04-22,22
22,2021-04-23,12
23,2021-04-24,12
24,2021-04-25,12
25,2021-04-26,7
26,2021-04-27,12
27,2021-04-28,15
28,2021-04-29,25
29,2021-04-30,23
