,날짜,경기
0,2021-04-01,15
1,2021-04-02,13
2,2021-04-03,13
3,2021-04-04,4
4,2021-04-05,10
5,2021-04-06,25
6,2021-04-07,33
7,2021-04-08,16
8,2021-04-09,14
9,2021-04-10,17
10,2021-04-11,26
11,2021-04-12,20
12,2021-04-13,7
13,2021-04-14,13
14,2021-04-15,22
15,2021-04-16,22
16,2021-04-17,17
17,2021-04-18,11
18,2021-04-19,23
19,2021-04-20,32
20,2021-04-21,35
21,2021-04-22,37
22,2021-04-23,17
23,2021-04-24,11
24,2021-04-25,13
25,2021-04-26,12
26,2021-04-27,17
27,2021-04-28,23
28,2021-04-29,24
29,2021-04-30,16
