,날짜,강원
0,2021-01-01,12
1,2021-01-02,12
2,2021-01-03,12
3,2021-01-04,16
4,2021-01-05,14
5,2021-01-06,9
6,2021-01-07,9
7,2021-01-08,7
8,2021-01-09,11
9,2021-01-10,16
10,2021-01-11,21
11,2021-01-12,31
12,2021-01-13,40
13,2021-01-14,28
14,2021-01-15,31
15,2021-01-16,34
16,2021-01-17,11
17,2021-01-18,17
18,2021-01-19,13
19,2021-01-20,23
20,2021-01-21,26
21,2021-01-22,20
22,2021-01-23,6
23,2021-01-24,9
24,2021-01-25,13
25,2021-01-26,17
26,2021-01-27,16
27,2021-01-28,15
28,2021-01-29,7
29,2021-01-30,20
30,2021-01-31,21
31,2021-02-01,34
32,2021-02-02,13
33,2021-02-03,14
34,2021-02-04,11
35,2021-02-05,17
36,2021-02-06,40
37,2021-02-07,45
38,2021-02-08,13
39,2021-02-09,14
40,2021-02-10,26
41,2021-02-11,39
42,2021-02-12,35
43,2021-02-13,35
44,2021-02-14,33
45,2021-02-15,21
46,2021-02-16,9
47,2021-02-17,9
48,2021-02-18,13
49,2021-02-19,24
50,2021-02-20,35
51,2021-02-21,30
52,2021-02-22,24
53,2021-02-23,11
54,2021-02-24,14
55,2021-02-25,19
56,2021-02-26,14
57,2021-02-27,9
58,2021-02-28,11
59,2021-03-01,7
60,2021-03-02,6
61,2021-03-03,14
62,2021-03-04,19
63,2021-03-05,14
64,2021-03-06,10
65,2021-03-07,9
66,2021-03-08,19
67,2021-03-09,26
68,2021-03-10,32
69,2021-03-11,35
70,2021-03-12,29
71,2021-03-13,28
72,2021-03-14,42
73,2021-03-15,42
74,2021-03-16,14
75,2021-03-17,15
76,2021-03-18,18
77,2021-03-19,13
78,2021-03-20,11
79,2021-03-21,20
80,2021-03-22,13
81,2021-03-23,23
82,2021-03-24,26
83,2021-03-25,24
84,2021-03-26,28
85,2021-03-27,22
86,2021-03-28,10
87,2021-03-29,35
88,2021-03-30,15
89,2021-03-31,12
90,2021-04-01,13
91,2021-04-02,12
92,2021-04-03,11
93,2021-04-04,6
94,2021-04-05,7
95,2021-04-06,12
96,2021-04-07,19
97,2021-04-08,11
98,2021-04-09,11
99,2021-04-10,15
100,2021-04-11,22
101,2021-04-12,16
102,2021-04-13,6
103,2021-04-14,11
104,2021-04-15,16
105,2021-04-16,17
106,2021-04-17,21
107,2021-04-18,11
108,2021-04-19,19
109,2021-04-20,30
110,2021-04-21,29
111,2021-04-22,25
112,2021-04-23,16
113,2021-04-24,11
114,2021-04-25,8
115,2021-04-26,8
116,2021-04-27,14
117,2021-04-28,16
118,2021-04-29,17
119,2021-04-30,13
120,2021-05-01,13
121,2021-05-02,6
122,2021-05-03,11
123,2021-05-04,14
124,2021-05-05,8
125,2021-05-06,16
126,2021-05-07,45
127,2021-05-08,79
128,2021-05-09,12
129,2021-05-10,9
130,2021-05-11,8
131,2021-05-12,8
132,2021-05-13,11
133,2021-05-14,17
134,2021-05-15,15
135,2021-05-16,4
136,2021-05-17,3
137,2021-05-18,8
138,2021-05-19,16
139,2021-05-20,12
140,2021-05-21,4
141,2021-05-22,13
142,2021-05-23,19
143,2021-05-24,24
144,2021-05-25,25
145,2021-05-26,12
146,2021-05-27,14
147,2021-05-28,12
148,2021-05-29,8
149,2021-05-30,8
150,2021-05-31,14
151,2021-06-01,19
152,2021-06-02,21
153,2021-06-03,18
154,2021-06-04,9
155,2021-06-05,19
156,2021-06-06,26
157,2021-06-07,23
158,2021-06-08,16
159,2021-06-09,17
160,2021-06-10,23
161,2021-06-11,13
162,2021-06-12,11
163,2021-06-13,10
164,2021-06-14,10
165,2021-06-15,6
166,2021-06-16,4
167,2021-06-17,6
168,2021-06-18,7
169,2021-06-19,14
170,2021-06-20,19
171,2021-06-21,20
172,2021-06-22,6
173,2021-06-23,5
174,2021-06-24,9
175,2021-06-25,16
176,2021-06-26,13
177,2021-06-27,11
178,2021-06-28,13
179,2021-06-29,12
180,2021-06-30,14
