,날짜,경북
0,2021-06-01,18
1,2021-06-02,27
2,2021-06-03,21
3,2021-06-04,9
4,2021-06-05,20
5,2021-06-06,31
6,2021-06-07,25
7,2021-06-08,24
8,2021-06-09,24
9,2021-06-10,26
10,2021-06-11,14
11,2021-06-12,12
12,2021-06-13,16
13,2021-06-14,15
14,2021-06-15,11
15,2021-06-16,6
16,2021-06-17,8
17,2021-06-18,14
18,2021-06-19,14
19,2021-06-20,20
20,2021-06-21,18
21,2021-06-22,12
22,2021-06-23,10
23,2021-06-24,12
24,2021-06-25,19
25,2021-06-26,19
26,2021-06-27,19
27,2021-06-28,19
28,2021-06-29,17
29,2021-06-30,19
