,날짜,세종
0,2021-04-01,18
1,2021-04-02,10
2,2021-04-03,10
3,2021-04-04,3
4,2021-04-05,10
5,2021-04-06,23
6,2021-04-07,28
7,2021-04-08,17
8,2021-04-09,12
9,2021-04-10,15
10,2021-04-11,22
11,2021-04-12,20
12,2021-04-13,5
13,2021-04-14,13
14,2021-04-15,18
15,2021-04-16,18
16,2021-04-17,13
17,2021-04-18,10
18,2021-04-19,21
19,2021-04-20,28
20,2021-04-21,28
21,2021-04-22,25
22,2021-04-23,10
23,2021-04-24,11
24,2021-04-25,14
25,2021-04-26,10
26,2021-04-27,17
27,2021-04-28,17
28,2021-04-29,20
29,2021-04-30,13
