,날짜,대구
0,2021-04-01,15
1,2021-04-02,14
2,2021-04-03,20
3,2021-04-04,6
4,2021-04-05,9
5,2021-04-06,17
6,2021-04-07,24
7,2021-04-08,17
8,2021-04-09,14
9,2021-04-10,13
10,2021-04-11,14
11,2021-04-12,18
12,2021-04-13,6
13,2021-04-14,12
14,2021-04-15,21
15,2021-04-16,22
16,2021-04-17,22
17,2021-04-18,9
18,2021-04-19,16
19,2021-04-20,25
20,2021-04-21,34
21,2021-04-22,32
22,2021-04-23,11
23,2021-04-24,12
24,2021-04-25,10
25,2021-04-26,8
26,2021-04-27,13
27,2021-04-28,21
28,2021-04-29,26
29,2021-04-30,19
