,날짜,전남
0,2021-05-01,11
1,2021-05-02,11
2,2021-05-03,9
3,2021-05-04,9
4,2021-05-05,10
5,2021-05-06,13
6,2021-05-07,38
7,2021-05-08,72
8,2021-05-09,22
9,2021-05-10,9
10,2021-05-11,12
11,2021-05-12,13
12,2021-05-13,16
13,2021-05-14,13
14,2021-05-15,11
15,2021-05-16,4
16,2021-05-17,7
17,2021-05-18,11
18,2021-05-19,17
19,2021-05-20,13
20,2021-05-21,10
21,2021-05-22,11
22,2021-05-23,20
23,2021-05-24,21
24,2021-05-25,25
25,2021-05-26,14
26,2021-05-27,14
27,2021-05-28,20
28,2021-05-29,15
29,2021-05-30,16
30,2021-05-31,16
