,날짜,경기
0,2021-06-01,22
1,2021-06-02,28
2,2021-06-03,19
3,2021-06-04,13
4,2021-06-05,26
5,2021-06-06,34
6,2021-06-07,21
7,2021-06-08,24
8,2021-06-09,28
9,2021-06-10,36
10,2021-06-11,13
11,2021-06-12,15
12,2021-06-13,18
13,2021-06-14,23
14,2021-06-15,18
15,2021-06-16,5
16,2021-06-17,9
17,2021-06-18,11
18,2021-06-19,29
19,2021-06-20,34
20,2021-06-21,29
21,2021-06-22,18
22,2021-06-23,12
23,2021-06-24,21
24,2021-06-25,27
25,2021-06-26,15
26,2021-06-27,14
27,2021-06-28,16
28,2021-06-29,21
29,2021-06-30,27
