,날짜,인천
0,2021-05-01,10
1,2021-05-02,8
2,2021-05-03,18
3,2021-05-04,14
4,2021-05-05,12
5,2021-05-06,17
6,2021-05-07,74
7,2021-05-08,62
8,2021-05-09,9
9,2021-05-10,9
10,2021-05-11,9
11,2021-05-12,12
12,2021-05-13,31
13,2021-05-14,32
14,2021-05-15,29
15,2021-05-16,4
16,2021-05-17,7
17,2021-05-18,14
18,2021-05-19,26
19,2021-05-20,18
20,2021-05-21,8
21,2021-05-22,13
22,2021-05-23,24
23,2021-05-24,29
24,2021-05-25,25
25,2021-05-26,15
26,2021-05-27,19
27,2021-05-28,23
28,2021-05-29,11
29,2021-05-30,14
30,2021-05-31,18
