,날짜,세종
0,2021-01-01,31
1,2021-01-02,23
2,2021-01-03,21
3,2021-01-04,32
4,2021-01-05,21
5,2021-01-06,17
6,2021-01-07,9
7,2021-01-08,14
8,2021-01-09,18
9,2021-01-10,24
10,2021-01-11,42
11,2021-01-12,49
12,2021-01-13,42
13,2021-01-14,42
14,2021-01-15,39
15,2021-01-16,29
16,2021-01-17,9
17,2021-01-18,21
18,2021-01-19,15
19,2021-01-20,32
20,2021-01-21,48
21,2021-01-22,41
22,2021-01-23,17
23,2021-01-24,11
24,2021-01-25,15
25,2021-01-26,20
26,2021-01-27,21
27,2021-01-28,17
28,2021-01-29,9
29,2021-01-30,23
30,2021-01-31,28
