,날짜,대전 평균기온(℃),대전누적확진자,대전월별확진자
0,2020-02,4.746153846153846,,13
1,2020-03,8.496774193548386,,23
2,2020-04,11.533333333333331,,4
3,2020-05,18.82258064516129,,6
4,2020-06,24.11,,71
5,2020-07,23.635483870967743,,49
6,2020-08,27.54516129032258,,90
7,2020-09,21.183333333333334,,104
8,2020-10,14.216129032258063,,82
9,2020-11,8.623333333333333,,52
10,2020-12,0.4935483870967742,,351
11,2021-01,-0.9838709677419354,,252
12,2021-02,3.985714285714285,,93
13,2021-03,9.612903225806452,,96
14,2021-04,14.653333333333334,,444
15,2021-05,17.683870967741935,,348
16,2021-06,23.5,,573
