,날짜,전북
0,2021-03-01,12
1,2021-03-02,14
2,2021-03-03,29
3,2021-03-04,30
4,2021-03-05,35
5,2021-03-06,50
6,2021-03-07,40
7,2021-03-08,54
8,2021-03-09,51
9,2021-03-10,70
10,2021-03-11,82
11,2021-03-12,37
12,2021-03-13,34
13,2021-03-14,58
14,2021-03-15,53
15,2021-03-16,79
16,2021-03-17,86
17,2021-03-18,73
18,2021-03-19,65
19,2021-03-20,36
20,2021-03-21,51
21,2021-03-22,46
22,2021-03-23,86
23,2021-03-24,56
24,2021-03-25,49
25,2021-03-26,69
26,2021-03-27,39
27,2021-03-28,21
28,2021-03-29,564
29,2021-03-30,290
30,2021-03-31,56
