,날짜,경북
0,2021-03-01,23
1,2021-03-02,12
2,2021-03-03,25
3,2021-03-04,32
4,2021-03-05,31
5,2021-03-06,31
6,2021-03-07,20
7,2021-03-08,31
8,2021-03-09,35
9,2021-03-10,55
10,2021-03-11,44
11,2021-03-12,30
12,2021-03-13,42
13,2021-03-14,52
14,2021-03-15,53
15,2021-03-16,73
16,2021-03-17,91
17,2021-03-18,71
18,2021-03-19,41
19,2021-03-20,22
20,2021-03-21,38
21,2021-03-22,34
22,2021-03-23,92
23,2021-03-24,62
24,2021-03-25,50
25,2021-03-26,62
26,2021-03-27,50
27,2021-03-28,15
28,2021-03-29,360
29,2021-03-30,106
30,2021-03-31,61
