,날짜,전남
0,2021-05-01,23
1,2021-05-02,20
2,2021-05-03,18
3,2021-05-04,20
4,2021-05-05,40
5,2021-05-06,56
6,2021-05-07,159
7,2021-05-08,342
8,2021-05-09,94
9,2021-05-10,28
10,2021-05-11,28
11,2021-05-12,29
12,2021-05-13,31
13,2021-05-14,22
14,2021-05-15,18
15,2021-05-16,9
16,2021-05-17,14
17,2021-05-18,19
18,2021-05-19,29
19,2021-05-20,19
20,2021-05-21,19
21,2021-05-22,20
22,2021-05-23,32
23,2021-05-24,45
24,2021-05-25,93
25,2021-05-26,40
26,2021-05-27,30
27,2021-05-28,40
28,2021-05-29,28
29,2021-05-30,31
30,2021-05-31,33
