,날짜,제주
0,2021-06-01,35
1,2021-06-02,33
2,2021-06-03,11
3,2021-06-04,15
4,2021-06-05,41
5,2021-06-06,32
6,2021-06-07,21
7,2021-06-08,21
8,2021-06-09,23
9,2021-06-10,27
10,2021-06-11,10
11,2021-06-12,15
12,2021-06-13,20
13,2021-06-14,30
14,2021-06-15,18
15,2021-06-16,15
16,2021-06-17,19
17,2021-06-18,17
18,2021-06-19,25
19,2021-06-20,36
20,2021-06-21,36
21,2021-06-22,31
22,2021-06-23,28
23,2021-06-24,31
24,2021-06-25,22
25,2021-06-26,26
26,2021-06-27,32
27,2021-06-28,28
28,2021-06-29,25
29,2021-06-30,24
