,날짜,서울
0,2021-05-01,24
1,2021-05-02,15
2,2021-05-03,32
3,2021-05-04,28
4,2021-05-05,44
5,2021-05-06,69
6,2021-05-07,354
7,2021-05-08,441
8,2021-05-09,48
9,2021-05-10,21
10,2021-05-11,19
11,2021-05-12,22
12,2021-05-13,44
13,2021-05-14,55
14,2021-05-15,49
15,2021-05-16,7
16,2021-05-17,14
17,2021-05-18,28
18,2021-05-19,32
19,2021-05-20,24
20,2021-05-21,13
21,2021-05-22,25
22,2021-05-23,32
23,2021-05-24,127
24,2021-05-25,97
25,2021-05-26,44
26,2021-05-27,41
27,2021-05-28,38
28,2021-05-29,20
29,2021-05-30,25
30,2021-05-31,34
