,날짜,광주
0,2021-06-01,45
1,2021-06-02,40
2,2021-06-03,15
3,2021-06-04,19
4,2021-06-05,50
5,2021-06-06,47
6,2021-06-07,43
7,2021-06-08,28
8,2021-06-09,32
9,2021-06-10,33
10,2021-06-11,14
11,2021-06-12,31
12,2021-06-13,30
13,2021-06-14,31
14,2021-06-15,20
15,2021-06-16,10
16,2021-06-17,17
17,2021-06-18,13
18,2021-06-19,28
19,2021-06-20,35
20,2021-06-21,32
21,2021-06-22,30
22,2021-06-23,29
23,2021-06-24,24
24,2021-06-25,24
25,2021-06-26,21
26,2021-06-27,25
27,2021-06-28,29
28,2021-06-29,31
29,2021-06-30,29
