,날짜,경기
0,2021-06-01,42
1,2021-06-02,52
2,2021-06-03,35
3,2021-06-04,30
4,2021-06-05,53
5,2021-06-06,63
6,2021-06-07,44
7,2021-06-08,44
8,2021-06-09,49
9,2021-06-10,58
10,2021-06-11,22
11,2021-06-12,26
12,2021-06-13,31
13,2021-06-14,38
14,2021-06-15,30
15,2021-06-16,13
16,2021-06-17,19
17,2021-06-18,19
18,2021-06-19,47
19,2021-06-20,57
20,2021-06-21,47
21,2021-06-22,32
22,2021-06-23,23
23,2021-06-24,36
24,2021-06-25,43
25,2021-06-26,24
26,2021-06-27,24
27,2021-06-28,28
28,2021-06-29,36
29,2021-06-30,43
