,날짜,대전
0,2021-03-01,13
1,2021-03-02,12
2,2021-03-03,29
3,2021-03-04,33
4,2021-03-05,38
5,2021-03-06,32
6,2021-03-07,30
7,2021-03-08,59
8,2021-03-09,56
9,2021-03-10,56
10,2021-03-11,63
11,2021-03-12,43
12,2021-03-13,36
13,2021-03-14,52
14,2021-03-15,54
15,2021-03-16,71
16,2021-03-17,90
17,2021-03-18,86
18,2021-03-19,43
19,2021-03-20,23
20,2021-03-21,44
21,2021-03-22,43
22,2021-03-23,92
23,2021-03-24,53
24,2021-03-25,51
25,2021-03-26,68
26,2021-03-27,43
27,2021-03-28,14
28,2021-03-29,400
29,2021-03-30,168
30,2021-03-31,46
