,날짜,전북
0,2021-06-01,42
1,2021-06-02,47
2,2021-06-03,19
3,2021-06-04,24
4,2021-06-05,62
5,2021-06-06,55
6,2021-06-07,46
7,2021-06-08,48
8,2021-06-09,48
9,2021-06-10,47
10,2021-06-11,16
11,2021-06-12,35
12,2021-06-13,37
13,2021-06-14,45
14,2021-06-15,35
15,2021-06-16,13
16,2021-06-17,17
17,2021-06-18,14
18,2021-06-19,33
19,2021-06-20,40
20,2021-06-21,50
21,2021-06-22,36
22,2021-06-23,39
23,2021-06-24,35
24,2021-06-25,32
25,2021-06-26,22
26,2021-06-27,29
27,2021-06-28,37
28,2021-06-29,37
29,2021-06-30,34
