,날짜,부산
0,2021-03-01,26
1,2021-03-02,13
2,2021-03-03,25
3,2021-03-04,32
4,2021-03-05,28
5,2021-03-06,32
6,2021-03-07,20
7,2021-03-08,26
8,2021-03-09,29
9,2021-03-10,52
10,2021-03-11,39
11,2021-03-12,17
12,2021-03-13,49
13,2021-03-14,49
14,2021-03-15,52
15,2021-03-16,54
16,2021-03-17,87
17,2021-03-18,69
18,2021-03-19,37
19,2021-03-20,19
20,2021-03-21,32
21,2021-03-22,32
22,2021-03-23,82
23,2021-03-24,65
24,2021-03-25,47
25,2021-03-26,62
26,2021-03-27,48
27,2021-03-28,19
28,2021-03-29,478
29,2021-03-30,166
30,2021-03-31,74
