,날짜,경남
0,2021-05-01,21
1,2021-05-02,18
2,2021-05-03,18
3,2021-05-04,20
4,2021-05-05,36
5,2021-05-06,49
6,2021-05-07,81
7,2021-05-08,208
8,2021-05-09,75
9,2021-05-10,24
10,2021-05-11,24
11,2021-05-12,26
12,2021-05-13,24
13,2021-05-14,22
14,2021-05-15,19
15,2021-05-16,10
16,2021-05-17,14
17,2021-05-18,14
18,2021-05-19,32
19,2021-05-20,21
20,2021-05-21,14
21,2021-05-22,21
22,2021-05-23,35
23,2021-05-24,32
24,2021-05-25,64
25,2021-05-26,33
26,2021-05-27,23
27,2021-05-28,33
28,2021-05-29,25
29,2021-05-30,29
30,2021-05-31,32
