,날짜,경남
0,2021-06-01,36
1,2021-06-02,44
2,2021-06-03,24
3,2021-06-04,18
4,2021-06-05,40
5,2021-06-06,42
6,2021-06-07,33
7,2021-06-08,32
8,2021-06-09,34
9,2021-06-10,37
10,2021-06-11,17
11,2021-06-12,14
12,2021-06-13,20
13,2021-06-14,24
14,2021-06-15,19
15,2021-06-16,10
16,2021-06-17,15
17,2021-06-18,24
18,2021-06-19,31
19,2021-06-20,36
20,2021-06-21,32
21,2021-06-22,28
22,2021-06-23,25
23,2021-06-24,22
24,2021-06-25,28
25,2021-06-26,25
26,2021-06-27,26
27,2021-06-28,29
28,2021-06-29,27
29,2021-06-30,28
