,날짜,울산
0,2021-06-01,29
1,2021-06-02,49
2,2021-06-03,31
3,2021-06-04,21
4,2021-06-05,43
5,2021-06-06,52
6,2021-06-07,50
7,2021-06-08,39
8,2021-06-09,38
9,2021-06-10,45
10,2021-06-11,22
11,2021-06-12,13
12,2021-06-13,23
13,2021-06-14,19
14,2021-06-15,13
15,2021-06-16,10
16,2021-06-17,12
17,2021-06-18,27
18,2021-06-19,33
19,2021-06-20,43
20,2021-06-21,33
21,2021-06-22,18
22,2021-06-23,14
23,2021-06-24,17
24,2021-06-25,27
25,2021-06-26,25
26,2021-06-27,25
27,2021-06-28,25
28,2021-06-29,23
29,2021-06-30,22
