,날짜,울산
0,2021-05-01,22
1,2021-05-02,21
2,2021-05-03,22
3,2021-05-04,24
4,2021-05-05,34
5,2021-05-06,49
6,2021-05-07,66
7,2021-05-08,154
8,2021-05-09,78
9,2021-05-10,26
10,2021-05-11,24
11,2021-05-12,24
12,2021-05-13,31
13,2021-05-14,36
14,2021-05-15,23
15,2021-05-16,11
16,2021-05-17,10
17,2021-05-18,15
18,2021-05-19,38
19,2021-05-20,26
20,2021-05-21,16
21,2021-05-22,24
22,2021-05-23,37
23,2021-05-24,33
24,2021-05-25,75
25,2021-05-26,37
26,2021-05-27,22
27,2021-05-28,36
28,2021-05-29,27
29,2021-05-30,28
30,2021-05-31,29
