,날짜,전남
0,2021-06-01,40
1,2021-06-02,41
2,2021-06-03,15
3,2021-06-04,17
4,2021-06-05,42
5,2021-06-06,38
6,2021-06-07,29
7,2021-06-08,25
8,2021-06-09,33
9,2021-06-10,33
10,2021-06-11,16
11,2021-06-12,23
12,2021-06-13,25
13,2021-06-14,27
14,2021-06-15,17
15,2021-06-16,11
16,2021-06-17,14
17,2021-06-18,15
18,2021-06-19,27
19,2021-06-20,34
20,2021-06-21,34
21,2021-06-22,30
22,2021-06-23,25
23,2021-06-24,21
24,2021-06-25,25
25,2021-06-26,23
26,2021-06-27,26
27,2021-06-28,30
28,2021-06-29,28
29,2021-06-30,26
