,날짜,경북
0,2021-06-01,36
1,2021-06-02,52
2,2021-06-03,33
3,2021-06-04,22
4,2021-06-05,42
5,2021-06-06,56
6,2021-06-07,48
7,2021-06-08,44
8,2021-06-09,42
9,2021-06-10,44
10,2021-06-11,24
11,2021-06-12,22
12,2021-06-13,24
13,2021-06-14,24
14,2021-06-15,18
15,2021-06-16,14
16,2021-06-17,19
17,2021-06-18,22
18,2021-06-19,28
19,2021-06-20,35
20,2021-06-21,33
21,2021-06-22,24
22,2021-06-23,19
23,2021-06-24,21
24,2021-06-25,30
25,2021-06-26,29
26,2021-06-27,28
27,2021-06-28,29
28,2021-06-29,27
29,2021-06-30,29
