,날짜,강원
0,2021-03-01,12
1,2021-03-02,10
2,2021-03-03,25
3,2021-03-04,32
4,2021-03-05,30
5,2021-03-06,21
6,2021-03-07,17
7,2021-03-08,32
8,2021-03-09,42
9,2021-03-10,57
10,2021-03-11,57
11,2021-03-12,44
12,2021-03-13,50
13,2021-03-14,60
14,2021-03-15,59
15,2021-03-16,75
16,2021-03-17,81
17,2021-03-18,70
18,2021-03-19,55
19,2021-03-20,28
20,2021-03-21,34
21,2021-03-22,32
22,2021-03-23,84
23,2021-03-24,62
24,2021-03-25,56
25,2021-03-26,64
26,2021-03-27,43
27,2021-03-28,19
28,2021-03-29,222
29,2021-03-30,76
30,2021-03-31,37
