,날짜,강원
0,2021-04-01,48
1,2021-04-02,48
2,2021-04-03,30
3,2021-04-04,15
4,2021-04-05,16
5,2021-04-06,28
6,2021-04-07,39
7,2021-04-08,27
8,2021-04-09,26
9,2021-04-10,29
10,2021-04-11,42
11,2021-04-12,31
12,2021-04-13,14
13,2021-04-14,24
14,2021-04-15,33
15,2021-04-16,67
16,2021-04-17,122
17,2021-04-18,30
18,2021-04-19,50
19,2021-04-20,63
20,2021-04-21,61
21,2021-04-22,55
22,2021-04-23,32
23,2021-04-24,21
24,2021-04-25,20
25,2021-04-26,21
26,2021-04-27,29
27,2021-04-28,59
28,2021-04-29,49
29,2021-04-30,24
