,날짜,부산
0,2021-04-01,67
1,2021-04-02,45
2,2021-04-03,42
3,2021-04-04,15
4,2021-04-05,21
5,2021-04-06,27
6,2021-04-07,42
7,2021-04-08,42
8,2021-04-09,29
9,2021-04-10,17
10,2021-04-11,16
11,2021-04-12,22
12,2021-04-13,18
13,2021-04-14,25
14,2021-04-15,34
15,2021-04-16,33
16,2021-04-17,63
17,2021-04-18,30
18,2021-04-19,41
19,2021-04-20,56
20,2021-04-21,69
21,2021-04-22,53
22,2021-04-23,34
23,2021-04-24,27
24,2021-04-25,28
25,2021-04-26,18
26,2021-04-27,25
27,2021-04-28,31
28,2021-04-29,65
29,2021-04-30,64
