,날짜,충남
0,2021-03-01,19
1,2021-03-02,16
2,2021-03-03,39
3,2021-03-04,38
4,2021-03-05,43
5,2021-03-06,43
6,2021-03-07,36
7,2021-03-08,59
8,2021-03-09,58
9,2021-03-10,81
10,2021-03-11,102
11,2021-03-12,77
12,2021-03-13,44
13,2021-03-14,69
14,2021-03-15,67
15,2021-03-16,98
16,2021-03-17,99
17,2021-03-18,89
18,2021-03-19,70
19,2021-03-20,45
20,2021-03-21,55
21,2021-03-22,49
22,2021-03-23,89
23,2021-03-24,58
24,2021-03-25,53
25,2021-03-26,83
26,2021-03-27,52
27,2021-03-28,20
28,2021-03-29,505
29,2021-03-30,236
30,2021-03-31,56
