,날짜,대구
0,2021-04-01,66
1,2021-04-02,46
2,2021-04-03,39
3,2021-04-04,11
4,2021-04-05,19
5,2021-04-06,33
6,2021-04-07,43
7,2021-04-08,36
8,2021-04-09,31
9,2021-04-10,23
10,2021-04-11,25
11,2021-04-12,28
12,2021-04-13,14
13,2021-04-14,27
14,2021-04-15,40
15,2021-04-16,42
16,2021-04-17,122
17,2021-04-18,27
18,2021-04-19,43
19,2021-04-20,58
20,2021-04-21,71
21,2021-04-22,69
22,2021-04-23,35
23,2021-04-24,29
24,2021-04-25,28
25,2021-04-26,22
26,2021-04-27,30
27,2021-04-28,78
28,2021-04-29,82
29,2021-04-30,56
