,날짜,경북
0,2021-04-01,64
1,2021-04-02,48
2,2021-04-03,36
3,2021-04-04,16
4,2021-04-05,21
5,2021-04-06,29
6,2021-04-07,44
7,2021-04-08,35
8,2021-04-09,27
9,2021-04-10,24
10,2021-04-11,25
11,2021-04-12,27
12,2021-04-13,16
13,2021-04-14,28
14,2021-04-15,38
15,2021-04-16,39
16,2021-04-17,122
17,2021-04-18,33
18,2021-04-19,44
19,2021-04-20,61
20,2021-04-21,67
21,2021-04-22,61
22,2021-04-23,33
23,2021-04-24,28
24,2021-04-25,29
25,2021-04-26,21
26,2021-04-27,30
27,2021-04-28,79
28,2021-04-29,68
29,2021-04-30,54
