,날짜,인천
0,2021-04-01,47
1,2021-04-02,47
2,2021-04-03,32
3,2021-04-04,10
4,2021-04-05,23
5,2021-04-06,39
6,2021-04-07,56
7,2021-04-08,33
8,2021-04-09,34
9,2021-04-10,31
10,2021-04-11,43
11,2021-04-12,36
12,2021-04-13,14
13,2021-04-14,23
14,2021-04-15,38
15,2021-04-16,78
16,2021-04-17,87
17,2021-04-18,29
18,2021-04-19,42
19,2021-04-20,51
20,2021-04-21,72
21,2021-04-22,72
22,2021-04-23,43
23,2021-04-24,24
24,2021-04-25,25
25,2021-04-26,28
26,2021-04-27,30
27,2021-04-28,60
28,2021-04-29,79
29,2021-04-30,26
