,날짜,경기
0,2021-04-01,52
1,2021-04-02,49
2,2021-04-03,33
3,2021-04-04,10
4,2021-04-05,23
5,2021-04-06,46
6,2021-04-07,57
7,2021-04-08,39
8,2021-04-09,34
9,2021-04-10,35
10,2021-04-11,49
11,2021-04-12,38
12,2021-04-13,16
13,2021-04-14,29
14,2021-04-15,46
15,2021-04-16,88
16,2021-04-17,90
17,2021-04-18,32
18,2021-04-19,53
19,2021-04-20,68
20,2021-04-21,77
21,2021-04-22,78
22,2021-04-23,45
23,2021-04-24,26
24,2021-04-25,28
25,2021-04-26,31
26,2021-04-27,38
27,2021-04-28,68
28,2021-04-29,76
29,2021-04-30,35
