,날짜,대전
0,2021-04-01,57
1,2021-04-02,53
2,2021-04-03,35
3,2021-04-04,6
4,2021-04-05,16
5,2021-04-06,34
6,2021-04-07,43
7,2021-04-08,34
8,2021-04-09,27
9,2021-04-10,32
10,2021-04-11,36
11,2021-04-12,24
12,2021-04-13,18
13,2021-04-14,27
14,2021-04-15,32
15,2021-04-16,37
16,2021-04-17,91
17,2021-04-18,29
18,2021-04-19,43
19,2021-04-20,57
20,2021-04-21,57
21,2021-04-22,56
22,2021-04-23,32
23,2021-04-24,24
24,2021-04-25,31
25,2021-04-26,24
26,2021-04-27,38
27,2021-04-28,87
28,2021-04-29,79
29,2021-04-30,51
