,날짜,광주
0,2021-03-01,11
1,2021-03-02,16
2,2021-03-03,29
3,2021-03-04,26
4,2021-03-05,23
5,2021-03-06,50
6,2021-03-07,36
7,2021-03-08,46
8,2021-03-09,41
9,2021-03-10,65
10,2021-03-11,65
11,2021-03-12,22
12,2021-03-13,25
13,2021-03-14,46
14,2021-03-15,55
15,2021-03-16,70
16,2021-03-17,78
17,2021-03-18,70
18,2021-03-19,60
19,2021-03-20,24
20,2021-03-21,49
21,2021-03-22,43
22,2021-03-23,81
23,2021-03-24,54
24,2021-03-25,48
25,2021-03-26,64
26,2021-03-27,31
27,2021-03-28,27
28,2021-03-29,507
29,2021-03-30,188
30,2021-03-31,71
