,날짜,인천
0,2021-05-01,20
1,2021-05-02,16
2,2021-05-03,31
3,2021-05-04,23
4,2021-05-05,46
5,2021-05-06,69
6,2021-05-07,390
7,2021-05-08,357
8,2021-05-09,45
9,2021-05-10,21
10,2021-05-11,20
11,2021-05-12,24
12,2021-05-13,53
13,2021-05-14,54
14,2021-05-15,41
15,2021-05-16,8
16,2021-05-17,15
17,2021-05-18,25
18,2021-05-19,40
19,2021-05-20,31
20,2021-05-21,13
21,2021-05-22,22
22,2021-05-23,35
23,2021-05-24,106
24,2021-05-25,88
25,2021-05-26,46
26,2021-05-27,42
27,2021-05-28,41
28,2021-05-29,21
29,2021-05-30,26
30,2021-05-31,33
