,날짜,울산
0,2021-04-01,65
1,2021-04-02,40
2,2021-04-03,39
3,2021-04-04,14
4,2021-04-05,20
5,2021-04-06,27
6,2021-04-07,42
7,2021-04-08,36
8,2021-04-09,24
9,2021-04-10,15
10,2021-04-11,17
11,2021-04-12,27
12,2021-04-13,14
13,2021-04-14,23
14,2021-04-15,36
15,2021-04-16,36
16,2021-04-17,90
17,2021-04-18,28
18,2021-04-19,39
19,2021-04-20,60
20,2021-04-21,73
21,2021-04-22,58
22,2021-04-23,31
23,2021-04-24,25
24,2021-04-25,26
25,2021-04-26,17
26,2021-04-27,29
27,2021-04-28,42
28,2021-04-29,74
29,2021-04-30,56
