,날짜,전남
0,2021-04-01,52
1,2021-04-02,52
2,2021-04-03,26
3,2021-04-04,9
4,2021-04-05,18
5,2021-04-06,28
6,2021-04-07,41
7,2021-04-08,32
8,2021-04-09,31
9,2021-04-10,24
10,2021-04-11,19
11,2021-04-12,15
12,2021-04-13,15
13,2021-04-14,23
14,2021-04-15,28
15,2021-04-16,29
16,2021-04-17,65
17,2021-04-18,33
18,2021-04-19,34
19,2021-04-20,43
20,2021-04-21,51
21,2021-04-22,51
22,2021-04-23,42
23,2021-04-24,28
24,2021-04-25,30
25,2021-04-26,22
26,2021-04-27,22
27,2021-04-28,46
28,2021-04-29,73
29,2021-04-30,45
