,날짜,대구
0,2021-03-01,26
1,2021-03-02,11
2,2021-03-03,32
3,2021-03-04,43
4,2021-03-05,36
5,2021-03-06,35
6,2021-03-07,21
7,2021-03-08,36
8,2021-03-09,40
9,2021-03-10,57
10,2021-03-11,51
11,2021-03-12,25
12,2021-03-13,42
13,2021-03-14,52
14,2021-03-15,55
15,2021-03-16,60
16,2021-03-17,89
17,2021-03-18,73
18,2021-03-19,41
19,2021-03-20,20
20,2021-03-21,36
21,2021-03-22,33
22,2021-03-23,85
23,2021-03-24,61
24,2021-03-25,57
25,2021-03-26,61
26,2021-03-27,48
27,2021-03-28,15
28,2021-03-29,367
29,2021-03-30,96
30,2021-03-31,66
