,날짜,대전
0,2021-05-01,33
1,2021-05-02,17
2,2021-05-03,22
3,2021-05-04,28
4,2021-05-05,42
5,2021-05-06,75
6,2021-05-07,230
7,2021-05-08,436
8,2021-05-09,103
9,2021-05-10,20
10,2021-05-11,16
11,2021-05-12,20
12,2021-05-13,34
13,2021-05-14,49
14,2021-05-15,26
15,2021-05-16,10
16,2021-05-17,9
17,2021-05-18,27
18,2021-05-19,36
19,2021-05-20,23
20,2021-05-21,13
21,2021-05-22,24
22,2021-05-23,32
23,2021-05-24,84
24,2021-05-25,119
25,2021-05-26,42
26,2021-05-27,34
27,2021-05-28,34
28,2021-05-29,28
29,2021-05-30,34
30,2021-05-31,34
