,날짜,인천
0,2021-06-01,35
1,2021-06-02,51
2,2021-06-03,34
3,2021-06-04,25
4,2021-06-05,57
5,2021-06-06,60
6,2021-06-07,39
7,2021-06-08,41
8,2021-06-09,55
9,2021-06-10,60
10,2021-06-11,15
11,2021-06-12,24
12,2021-06-13,21
13,2021-06-14,28
14,2021-06-15,29
15,2021-06-16,13
16,2021-06-17,18
17,2021-06-18,15
18,2021-06-19,44
19,2021-06-20,62
20,2021-06-21,42
21,2021-06-22,37
22,2021-06-23,27
23,2021-06-24,39
24,2021-06-25,46
25,2021-06-26,27
26,2021-06-27,23
27,2021-06-28,28
28,2021-06-29,40
29,2021-06-30,42
