,날짜,세종
0,2021-03-01,16
1,2021-03-02,15
2,2021-03-03,32
3,2021-03-04,38
4,2021-03-05,41
5,2021-03-06,37
6,2021-03-07,32
7,2021-03-08,62
8,2021-03-09,59
9,2021-03-10,64
10,2021-03-11,81
11,2021-03-12,55
12,2021-03-13,37
13,2021-03-14,64
14,2021-03-15,63
15,2021-03-16,77
16,2021-03-17,94
17,2021-03-18,96
18,2021-03-19,46
19,2021-03-20,30
20,2021-03-21,47
21,2021-03-22,40
22,2021-03-23,85
23,2021-03-24,54
24,2021-03-25,53
25,2021-03-26,73
26,2021-03-27,47
27,2021-03-28,15
28,2021-03-29,371
29,2021-03-30,189
30,2021-03-31,49
