,날짜,서울
0,2021-06-01,38
1,2021-06-02,50
2,2021-06-03,31
3,2021-06-04,26
4,2021-06-05,45
5,2021-06-06,61
6,2021-06-07,37
7,2021-06-08,40
8,2021-06-09,41
9,2021-06-10,53
10,2021-06-11,19
11,2021-06-12,21
12,2021-06-13,30
13,2021-06-14,39
14,2021-06-15,26
15,2021-06-16,10
16,2021-06-17,17
17,2021-06-18,17
18,2021-06-19,42
19,2021-06-20,51
20,2021-06-21,41
21,2021-06-22,23
22,2021-06-23,18
23,2021-06-24,31
24,2021-06-25,38
25,2021-06-26,21
26,2021-06-27,19
27,2021-06-28,24
28,2021-06-29,30
29,2021-06-30,36
