,날짜,충북
0,2021-06-01,39
1,2021-06-02,45
2,2021-06-03,29
3,2021-06-04,24
4,2021-06-05,50
5,2021-06-06,58
6,2021-06-07,42
7,2021-06-08,44
8,2021-06-09,42
9,2021-06-10,40
10,2021-06-11,23
11,2021-06-12,32
12,2021-06-13,36
13,2021-06-14,35
14,2021-06-15,21
15,2021-06-16,11
16,2021-06-17,14
17,2021-06-18,13
18,2021-06-19,38
19,2021-06-20,39
20,2021-06-21,46
21,2021-06-22,24
22,2021-06-23,21
23,2021-06-24,28
24,2021-06-25,34
25,2021-06-26,19
26,2021-06-27,24
27,2021-06-28,24
28,2021-06-29,25
29,2021-06-30,32
