,날짜,부산
0,2021-05-01,22
1,2021-05-02,20
2,2021-05-03,20
3,2021-05-04,24
4,2021-05-05,36
5,2021-05-06,51
6,2021-05-07,64
7,2021-05-08,205
8,2021-05-09,97
9,2021-05-10,27
10,2021-05-11,21
11,2021-05-12,26
12,2021-05-13,24
13,2021-05-14,23
14,2021-05-15,14
15,2021-05-16,9
16,2021-05-17,13
17,2021-05-18,14
18,2021-05-19,36
19,2021-05-20,19
20,2021-05-21,16
21,2021-05-22,21
22,2021-05-23,37
23,2021-05-24,28
24,2021-05-25,70
25,2021-05-26,36
26,2021-05-27,23
27,2021-05-28,40
28,2021-05-29,26
29,2021-05-30,29
30,2021-05-31,27
