,날짜,강원
0,2021-05-01,22
1,2021-05-02,16
2,2021-05-03,23
3,2021-05-04,27
4,2021-05-05,33
5,2021-05-06,66
6,2021-05-07,214
7,2021-05-08,408
8,2021-05-09,59
9,2021-05-10,21
10,2021-05-11,19
11,2021-05-12,19
12,2021-05-13,25
13,2021-05-14,33
14,2021-05-15,25
15,2021-05-16,8
16,2021-05-17,7
17,2021-05-18,18
18,2021-05-19,29
19,2021-05-20,24
20,2021-05-21,9
21,2021-05-22,25
22,2021-05-23,31
23,2021-05-24,77
24,2021-05-25,78
25,2021-05-26,37
26,2021-05-27,29
27,2021-05-28,22
28,2021-05-29,16
29,2021-05-30,18
30,2021-05-31,26
