,날짜,세종
0,2021-05-01,34
1,2021-05-02,19
2,2021-05-03,24
3,2021-05-04,27
4,2021-05-05,45
5,2021-05-06,73
6,2021-05-07,256
7,2021-05-08,455
8,2021-05-09,105
9,2021-05-10,21
10,2021-05-11,17
11,2021-05-12,24
12,2021-05-13,35
13,2021-05-14,47
14,2021-05-15,27
15,2021-05-16,10
16,2021-05-17,13
17,2021-05-18,32
18,2021-05-19,33
19,2021-05-20,27
20,2021-05-21,14
21,2021-05-22,24
22,2021-05-23,33
23,2021-05-24,103
24,2021-05-25,118
25,2021-05-26,42
26,2021-05-27,33
27,2021-05-28,36
28,2021-05-29,28
29,2021-05-30,32
30,2021-05-31,35
