,날짜,경기
0,2021-05-01,27
1,2021-05-02,17
2,2021-05-03,33
3,2021-05-04,30
4,2021-05-05,50
5,2021-05-06,75
6,2021-05-07,365
7,2021-05-08,466
8,2021-05-09,66
9,2021-05-10,22
10,2021-05-11,22
11,2021-05-12,25
12,2021-05-13,49
13,2021-05-14,58
14,2021-05-15,43
15,2021-05-16,8
16,2021-05-17,12
17,2021-05-18,30
18,2021-05-19,37
19,2021-05-20,31
20,2021-05-21,14
21,2021-05-22,26
22,2021-05-23,34
23,2021-05-24,127
24,2021-05-25,100
25,2021-05-26,46
26,2021-05-27,44
27,2021-05-28,39
28,2021-05-29,24
29,2021-05-30,29
30,2021-05-31,36
