,날짜,전북
0,2021-04-01,55
1,2021-04-02,51
2,2021-04-03,28
3,2021-04-04,9
4,2021-04-05,19
5,2021-04-06,41
6,2021-04-07,60
7,2021-04-08,44
8,2021-04-09,37
9,2021-04-10,35
10,2021-04-11,39
11,2021-04-12,22
12,2021-04-13,18
13,2021-04-14,27
14,2021-04-15,35
15,2021-04-16,41
16,2021-04-17,82
17,2021-04-18,36
18,2021-04-19,43
19,2021-04-20,56
20,2021-04-21,62
21,2021-04-22,56
22,2021-04-23,32
23,2021-04-24,29
24,2021-04-25,39
25,2021-04-26,32
26,2021-04-27,32
27,2021-04-28,87
28,2021-04-29,89
29,2021-04-30,46
