,날짜,경남
0,2021-03-01,18
1,2021-03-02,9
2,2021-03-03,22
3,2021-03-04,28
4,2021-03-05,25
5,2021-03-06,31
6,2021-03-07,21
7,2021-03-08,29
8,2021-03-09,30
9,2021-03-10,50
10,2021-03-11,37
11,2021-03-12,15
12,2021-03-13,31
13,2021-03-14,39
14,2021-03-15,42
15,2021-03-16,57
16,2021-03-17,65
17,2021-03-18,63
18,2021-03-19,37
19,2021-03-20,17
20,2021-03-21,30
21,2021-03-22,30
22,2021-03-23,71
23,2021-03-24,51
24,2021-03-25,45
25,2021-03-26,50
26,2021-03-27,38
27,2021-03-28,17
28,2021-03-29,452
29,2021-03-30,119
30,2021-03-31,71
