,날짜,충북
0,2021-05-01,33
1,2021-05-02,17
2,2021-05-03,25
3,2021-05-04,33
4,2021-05-05,41
5,2021-05-06,67
6,2021-05-07,206
7,2021-05-08,402
8,2021-05-09,92
9,2021-05-10,20
10,2021-05-11,20
11,2021-05-12,19
12,2021-05-13,31
13,2021-05-14,48
14,2021-05-15,28
15,2021-05-16,10
16,2021-05-17,11
17,2021-05-18,30
18,2021-05-19,39
19,2021-05-20,28
20,2021-05-21,11
21,2021-05-22,28
22,2021-05-23,32
23,2021-05-24,87
24,2021-05-25,102
25,2021-05-26,39
26,2021-05-27,33
27,2021-05-28,33
28,2021-05-29,25
29,2021-05-30,33
30,2021-05-31,34
