,날짜,충북
0,2021-04-01,54
1,2021-04-02,46
2,2021-04-03,36
3,2021-04-04,10
4,2021-04-05,20
5,2021-04-06,40
6,2021-04-07,47
7,2021-04-08,38
8,2021-04-09,27
9,2021-04-10,33
10,2021-04-11,43
11,2021-04-12,28
12,2021-04-13,17
13,2021-04-14,31
14,2021-04-15,36
15,2021-04-16,41
16,2021-04-17,92
17,2021-04-18,31
18,2021-04-19,48
19,2021-04-20,66
20,2021-04-21,68
21,2021-04-22,63
22,2021-04-23,31
23,2021-04-24,24
24,2021-04-25,27
25,2021-04-26,19
26,2021-04-27,36
27,2021-04-28,74
28,2021-04-29,66
29,2021-04-30,35
