,날짜,충남
0,2021-04-01,63
1,2021-04-02,56
2,2021-04-03,35
3,2021-04-04,13
4,2021-04-05,25
5,2021-04-06,46
6,2021-04-07,60
7,2021-04-08,43
8,2021-04-09,37
9,2021-04-10,34
10,2021-04-11,47
11,2021-04-12,36
12,2021-04-13,20
13,2021-04-14,31
14,2021-04-15,38
15,2021-04-16,62
16,2021-04-17,85
17,2021-04-18,36
18,2021-04-19,48
19,2021-04-20,56
20,2021-04-21,66
21,2021-04-22,66
22,2021-04-23,42
23,2021-04-24,29
24,2021-04-25,38
25,2021-04-26,37
26,2021-04-27,37
27,2021-04-28,75
28,2021-04-29,84
29,2021-04-30,40
