,날짜,제주
0,2021-04-01,64
1,2021-04-02,50
2,2021-04-03,19
3,2021-04-04,17
4,2021-04-05,20
5,2021-04-06,27
6,2021-04-07,47
7,2021-04-08,41
8,2021-04-09,31
9,2021-04-10,25
10,2021-04-11,23
11,2021-04-12,19
12,2021-04-13,24
13,2021-04-14,25
14,2021-04-15,28
15,2021-04-16,26
16,2021-04-17,79
17,2021-04-18,36
18,2021-04-19,31
19,2021-04-20,41
20,2021-04-21,41
21,2021-04-22,47
22,2021-04-23,46
23,2021-04-24,44
24,2021-04-25,35
25,2021-04-26,26
26,2021-04-27,26
27,2021-04-28,23
28,2021-04-29,57
29,2021-04-30,59
