,날짜,제주
0,2021-05-01,25
1,2021-05-02,31
2,2021-05-03,25
3,2021-05-04,24
4,2021-05-05,48
5,2021-05-06,70
6,2021-05-07,117
7,2021-05-08,245
8,2021-05-09,85
9,2021-05-10,37
10,2021-05-11,31
11,2021-05-12,36
12,2021-05-13,20
13,2021-05-14,20
14,2021-05-15,14
15,2021-05-16,13
16,2021-05-17,26
17,2021-05-18,25
18,2021-05-19,28
19,2021-05-20,15
20,2021-05-21,24
21,2021-05-22,20
22,2021-05-23,21
23,2021-05-24,30
24,2021-05-25,83
25,2021-05-26,35
26,2021-05-27,32
27,2021-05-28,41
28,2021-05-29,28
29,2021-05-30,25
30,2021-05-31,31
