,날짜,서울
0,2021-04-01,42
1,2021-04-02,45
2,2021-04-03,31
3,2021-04-04,11
4,2021-04-05,20
5,2021-04-06,40
6,2021-04-07,52
7,2021-04-08,32
8,2021-04-09,32
9,2021-04-10,32
10,2021-04-11,43
11,2021-04-12,35
12,2021-04-13,14
13,2021-04-14,26
14,2021-04-15,45
15,2021-04-16,76
16,2021-04-17,78
17,2021-04-18,30
18,2021-04-19,48
19,2021-04-20,67
20,2021-04-21,75
21,2021-04-22,72
22,2021-04-23,41
23,2021-04-24,23
24,2021-04-25,24
25,2021-04-26,28
26,2021-04-27,30
27,2021-04-28,61
28,2021-04-29,66
29,2021-04-30,34
