,날짜,대구
0,2021-05-01,28
1,2021-05-02,17
2,2021-05-03,26
3,2021-05-04,25
4,2021-05-05,37
5,2021-05-06,54
6,2021-05-07,97
7,2021-05-08,183
8,2021-05-09,74
9,2021-05-10,26
10,2021-05-11,26
11,2021-05-12,24
12,2021-05-13,31
13,2021-05-14,42
14,2021-05-15,42
15,2021-05-16,16
16,2021-05-17,11
17,2021-05-18,23
18,2021-05-19,38
19,2021-05-20,27
20,2021-05-21,14
21,2021-05-22,27
22,2021-05-23,38
23,2021-05-24,51
24,2021-05-25,80
25,2021-05-26,43
26,2021-05-27,24
27,2021-05-28,31
28,2021-05-29,24
29,2021-05-30,33
30,2021-05-31,40
